ba	pɑ
pa	pʰɑ
ma	mɑ
fa	fɑ
da	tɑ
ta	tʰɑ
na	nɑ
la	lɑ
za	tsɑ
ca	tsʰɑ
sa	sɑ
zha	tʂɑ
cha	tʂʰɑ
sha	ʂɑ
ga	kɑ
ka	kʰɑ
ha	xɑ
a	ɑ
bo	po
po	pʰo
mo	mo
fo	fo
o	o
bai	pai
pai	pʰai
mai	mai
dai	tai
tai	tʰai
nai	nai
lai	lai
zai	tsai
cai	tsʰai
sai	sai
zhai	tʂai
chai	tʂʰai
shai	ʂai
gai	kai
kai	kʰai
hai	xai
ai	ai
bang	pɑŋ
pang	pʰɑŋ
mang	mɑŋ
fang	fɑŋ
dang	tɑŋ
tang	tʰɑŋ
nang	nɑŋ
lang	lɑŋ
zang	tsɑŋ
cang	tsʰɑŋ
sang	sɑŋ
zhang	tʂɑŋ
chang	tʂʰɑŋ
shang	ʂɑŋ
rang	ʐɑŋ
gang	kɑŋ
kang	kʰɑŋ
hang	xɑŋ
ang	ɑŋ
beng	pəŋ
peng	pʰəŋ
meng	məŋ
feng	fəŋ
deng	təŋ
teng	tʰəŋ
neng	nəŋ
leng	ləŋ
zeng	tsəŋ
ceng	tsʰəŋ
seng	səŋ
zheng	tʂəŋ
cheng	tʂʰəŋ
sheng	ʂəŋ
reng	ʐəŋ
geng	kəŋ
keng	kʰəŋ
heng	xəŋ
eng	əŋ
me	mə
de	tə
te	tʰə
ne	nə
le	lə
ze	tsə
ce	tsʰə
se	sə
zhe	tʂə
che	tʂʰə
she	ʂə
re	ʐə
ge	kə
ke	kʰə
he	xə
e	ə
zi	tsz̩
ci	tsʰz̩
si	sz̩
zhi	tʂʐ̩
chi	tʂʰʐ̩
shi	ʂʐ̩
ri	ʐ̩
er	əɻ
bei	pɛi
pei	pʰɛi
mei	mɛi
fei	fɛi
dei	tɛi
nei	nɛi
lei	lɛi
zei	tsɛi
zhei	tʂɛi
shei	ʂɛi
gei	kɛi
kei	kʰɛi
hei	xɛi
ei	ɛi
bao	pɑɔ
pao	pʰɑɔ
mao	mɑɔ
